Date,Product A,Product B,Product C
2022-03-09,20,30,15
2022-03-10,25,35,18
2022-03-11,30,40,21
2022-03-12,35,45,24
2022-03-13,40,50,27
2022-03-14,45,55,30
2022-03-15,50,60,33
2022-03-16,55,65,36
2022-03-17,60,70,39
2022-03-18,65,75,42
2022-03-19,70,80,45
2022-03-20,75,85,48
2022-03-21,80,90,51
2022-03-22,85,95,54
2022-03-23,90,100,57
2022-03-24,95,105,60
2022-03-25,100,110,63
2022-03-26,105,115,66
2022-03-27,110,120,69
2022-03-28,115,125,72
2022-03-29,120,130,75
2022-03-30,125,135,78
2022-03-31,130,140,81
2022-04-01,135,145,84
2022-04-02,140,150,87
2022-04-03,145,155,90
2022-04-04,150,160,93
2022-04-05,155,165,96
2022-04-06,160,170,99
2022-04-07,165,175,102
